time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,precipAccumulation,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure
2014-01-15T06:00:00Z,Clear throughout the day.,clear-day,2014-01-15T13:27:25Z,2014-01-15T22:48:52Z,0.48,0,0,NA,0,NA,NA,-11.57,2014-01-15T16:00:00Z,-8.17,2014-01-16T05:00:00Z,-19.07,2014-01-16T02:00:00Z,-15.88,2014-01-16T05:00:00Z,-14.51,0.72,2.75,261,15.68,0.18,1015.81
2014-01-16T06:00:00Z,Snow (under 1 cm.) in the morning.,snow,2014-01-16T13:26:55Z,2014-01-16T22:50:04Z,0.52,0.0406,0.4674,2014-01-16T16:00:00Z,0.57,snow,0.945,-10.67,2014-01-17T05:00:00Z,0.56,2014-01-16T21:00:00Z,-17.75,2014-01-17T05:00:00Z,-4.87,2014-01-16T21:00:00Z,-7.78,0.77,3.88,238,12.44,0.26,1001.03
2014-01-17T06:00:00Z,Clear throughout the day.,clear-day,2014-01-17T13:26:22Z,2014-01-17T22:51:17Z,0.55,0,0,NA,0,NA,NA,-12.51,2014-01-17T11:00:00Z,-7.49,2014-01-17T22:00:00Z,-19.86,2014-01-17T10:00:00Z,-13.54,2014-01-17T22:00:00Z,-14.44,0.71,3.71,292,12.39,0.36,1011.37
2014-01-18T06:00:00Z,Light snow (under 1 cm.) until afternoon.,snow,2014-01-18T13:25:47Z,2014-01-18T22:52:31Z,0.58,0.0254,0.1549,2014-01-19T00:00:00Z,0.27,snow,1.168,-15.62,2014-01-18T10:00:00Z,-8.17,2014-01-18T20:00:00Z,-21.76,2014-01-19T04:00:00Z,-14.07,2014-01-18T20:00:00Z,-14.91,0.83,0.68,126,11.78,0.18,1011.39
2014-01-19T06:00:00Z,Clear throughout the day.,clear-day,2014-01-19T13:25:10Z,2014-01-19T22:53:45Z,0.61,0,0,NA,0,NA,NA,-12.94,2014-01-19T06:00:00Z,0.89,2014-01-20T05:00:00Z,-19.59,2014-01-19T06:00:00Z,-3.18,2014-01-20T05:00:00Z,-7.86,0.77,4.42,235,15.72,0.05,1003.52
2014-01-20T06:00:00Z,Clear throughout the day.,clear-day,2014-01-20T13:24:31Z,2014-01-20T22:55:01Z,0.64,0,0,NA,0,NA,NA,-13.83,2014-01-21T05:00:00Z,1.19,2014-01-20T06:00:00Z,-24.71,2014-01-21T05:00:00Z,-3.39,2014-01-20T06:00:00Z,-9.47,0.78,3.98,17,12.94,NA,1015.6
2014-01-21T06:00:00Z,Clear throughout the day.,clear-day,2014-01-21T13:23:50Z,2014-01-21T22:56:17Z,0.67,0,0,NA,0,NA,NA,-20.5,2014-01-21T14:00:00Z,-14.44,2014-01-21T06:00:00Z,-29.34,2014-01-21T15:00:00Z,-24.32,2014-01-21T06:00:00Z,-23.01,0.63,2.84,325,16.05,0.05,1026.65
2014-01-22T06:00:00Z,Light snow (under 1 cm.) in the morning.,snow,2014-01-22T13:23:07Z,2014-01-22T22:57:34Z,0.7,0.0127,0.1549,2014-01-22T13:00:00Z,0.27,snow,0.592,-18.95,2014-01-23T05:00:00Z,-11.56,2014-01-22T19:00:00Z,-29.7,2014-01-23T05:00:00Z,-20.54,2014-01-22T19:00:00Z,-20.27,0.67,3.03,283,11.49,0.36,1017.79
2014-01-23T06:00:00Z,Clear throughout the day.,clear-day,2014-01-23T13:22:21Z,2014-01-23T22:58:52Z,0.74,0,0,NA,0,NA,NA,-21.83,2014-01-24T05:00:00Z,-14.61,2014-01-23T21:00:00Z,-31.06,2014-01-23T09:00:00Z,-22.97,2014-01-23T21:00:00Z,-24.24,0.6,4.63,299,16.05,0.01,1033.16
2014-01-24T06:00:00Z,Light snow starting in the evening.,snow,2014-01-24T13:21:34Z,2014-01-24T23:00:10Z,0.77,0.0203,0.1549,2014-01-25T05:00:00Z,0.27,snow,0.455,-22.28,2014-01-24T06:00:00Z,-1.22,2014-01-25T05:00:00Z,-30.98,2014-01-24T08:00:00Z,-6.11,2014-01-25T05:00:00Z,-15.88,0.67,6.24,221,14.11,0.29,1012.84
2014-01-25T06:00:00Z,Breezy in the morning and snow (1–3 cm.) overnight.,snow,2014-01-25T13:20:44Z,2014-01-25T23:01:29Z,0.81,0,0,NA,0,NA,NA,-15.11,2014-01-26T03:00:00Z,-0.27,2014-01-25T07:00:00Z,-22.48,2014-01-26T02:00:00Z,-5.31,2014-01-25T07:00:00Z,-18.13,0.5,5.87,301,15.58,0.05,1004.66
2014-01-26T06:00:00Z,Snow (1–2 cm.) in the morning and breezy overnight.,snow,2014-01-26T13:19:53Z,2014-01-26T23:02:48Z,0.85,0.0711,0.541,2014-01-26T09:00:00Z,0.59,snow,3.221,-15.83,2014-01-27T05:00:00Z,-4.22,2014-01-26T21:00:00Z,-27.56,2014-01-27T05:00:00Z,-10.44,2014-01-26T21:00:00Z,-15.05,0.73,3.02,268,8.82,0.39,1000.35
2014-01-27T06:00:00Z,Clear throughout the day.,clear-day,2014-01-27T13:19:00Z,2014-01-27T23:04:08Z,0.88,0,0,NA,0,NA,NA,-23.56,2014-01-28T05:00:00Z,-16.34,2014-01-27T06:00:00Z,-34.15,2014-01-27T15:00:00Z,-27.37,2014-01-27T06:00:00Z,-27.19,0.56,5.28,291,15.48,0.01,1024.2
2014-01-28T06:00:00Z,Clear throughout the day.,clear-day,2014-01-28T13:18:04Z,2014-01-28T23:05:27Z,0.92,0,0,NA,0,NA,NA,-25.93,2014-01-28T12:00:00Z,-17.01,2014-01-28T21:00:00Z,-34.58,2014-01-28T13:00:00Z,-26.79,2014-01-28T21:00:00Z,-26.59,0.62,3.89,250,16.09,0,1027.66
2014-01-29T06:00:00Z,Clear throughout the day.,clear-day,2014-01-29T13:17:07Z,2014-01-29T23:06:48Z,0.96,0,0,NA,0,NA,NA,-19.21,2014-01-29T13:00:00Z,-5.12,2014-01-30T05:00:00Z,-28.24,2014-01-29T10:00:00Z,-12.95,2014-01-30T05:00:00Z,-19.34,0.58,4.3,213,16.09,0.02,1018.75
2014-01-30T06:00:00Z,Snow (under 1 cm.) until afternoon.,snow,2014-01-30T13:16:08Z,2014-01-30T23:08:08Z,0.99,0.033,0.6223,2014-01-30T18:00:00Z,0.61,snow,0.973,-7.89,2014-01-31T05:00:00Z,-0.92,2014-01-31T00:00:00Z,-14.22,2014-01-31T05:00:00Z,-4.42,2014-01-31T00:00:00Z,-8.79,0.69,4.95,208,13.84,0.14,1006.38
2014-01-31T06:00:00Z,Clear throughout the day.,clear-day,2014-01-31T13:15:07Z,2014-01-31T23:09:29Z,0.04,0,0,NA,0,NA,NA,-16.06,2014-02-01T05:00:00Z,-9.44,2014-01-31T06:00:00Z,-20.37,2014-01-31T15:00:00Z,-14.74,2014-01-31T06:00:00Z,-17.62,0.69,1.91,292,16.09,0.07,1019.86
2014-02-01T06:00:00Z,Snow (2–5 cm.) in the morning.,snow,2014-02-01T13:14:05Z,2014-02-01T23:10:50Z,0.07,0.0787,0.541,2014-02-01T12:00:00Z,0.59,snow,3.607,-14.51,2014-02-01T06:00:00Z,-7.47,2014-02-02T03:00:00Z,-18.47,2014-02-01T12:00:00Z,-11.97,2014-02-02T03:00:00Z,-13.07,0.8,1.83,351,11.2,0.27,1017.59
2014-02-02T06:00:00Z,Clear throughout the day.,clear-day,2014-02-02T13:13:00Z,2014-02-02T23:12:11Z,0.11,0,0,NA,0,NA,NA,-20.56,2014-02-03T05:00:00Z,-9.56,2014-02-02T22:00:00Z,-31.38,2014-02-03T05:00:00Z,-14.88,2014-02-02T22:00:00Z,-17.56,0.72,2.78,290,15.34,0.04,1025.21
2014-02-03T06:00:00Z,Clear throughout the day.,clear-day,2014-02-03T13:11:54Z,2014-02-03T23:13:32Z,0.14,0,0,NA,0,NA,NA,-24.02,2014-02-03T13:00:00Z,-8.06,2014-02-03T20:00:00Z,-33.56,2014-02-03T12:00:00Z,-13.53,2014-02-03T20:00:00Z,-20.63,0.67,2.01,225,16.08,0.02,1028.36
2014-02-04T06:00:00Z,Clear throughout the day.,clear-day,2014-02-04T13:10:46Z,2014-02-04T23:14:53Z,0.18,0,0,NA,0,NA,NA,-17.06,2014-02-04T13:00:00Z,-7.99,2014-02-05T05:00:00Z,-23.33,2014-02-04T14:00:00Z,-15.08,2014-02-05T05:00:00Z,-15.78,0.72,1.99,16,14.58,0.11,1028.77
2014-02-05T06:00:00Z,Clear throughout the day.,clear-day,2014-02-05T13:09:37Z,2014-02-05T23:16:14Z,0.21,0.0076,0.1549,2014-02-05T10:00:00Z,0.27,snow,0.29,-15.12,2014-02-06T05:00:00Z,-7.93,2014-02-05T20:00:00Z,-21.85,2014-02-06T05:00:00Z,-14.89,2014-02-05T20:00:00Z,-13.73,0.73,4.53,345,11.65,0.34,1027.43
2014-02-06T06:00:00Z,Clear throughout the day.,clear-day,2014-02-06T13:08:26Z,2014-02-06T23:17:35Z,0.25,0,0,NA,0,NA,NA,-21.1,2014-02-06T13:00:00Z,-14.16,2014-02-06T21:00:00Z,-28.89,2014-02-06T14:00:00Z,-23.68,2014-02-06T21:00:00Z,-22.22,0.7,3.45,264,16.09,0.03,1029.73
2014-02-07T06:00:00Z,Clear throughout the day.,clear-day,2014-02-07T13:07:13Z,2014-02-07T23:18:56Z,0.28,0,0,NA,0,NA,NA,-19.98,2014-02-07T13:00:00Z,-11.11,2014-02-07T21:00:00Z,-28.77,2014-02-07T14:00:00Z,-18.36,2014-02-07T21:00:00Z,-21.01,0.65,3.73,231,16.09,0.01,1026.68
2014-02-08T06:00:00Z,Snow (1–2 cm.) in the afternoon.,snow,2014-02-08T13:05:59Z,2014-02-08T23:20:18Z,0.31,0.0254,0.3099,2014-02-08T19:00:00Z,0.52,snow,1.181,-21.1,2014-02-08T12:00:00Z,-10.34,2014-02-08T21:00:00Z,-28.33,2014-02-08T12:00:00Z,-10.34,2014-02-08T21:00:00Z,-17.08,0.81,1.9,184,10.2,0.13,1023.72
2014-02-09T06:00:00Z,Clear throughout the day.,clear-day,2014-02-09T13:04:43Z,2014-02-09T23:21:38Z,0.34,0,0,NA,0,NA,NA,-17.96,2014-02-09T11:00:00Z,-8.26,2014-02-09T21:00:00Z,-26.85,2014-02-09T11:00:00Z,-15.33,2014-02-09T21:00:00Z,-17.58,0.72,3.26,295,13.31,0.05,1023.1
2014-02-10T06:00:00Z,Clear throughout the day.,clear-day,2014-02-10T13:03:26Z,2014-02-10T23:22:59Z,0.37,0,0,NA,0,NA,NA,-23.68,2014-02-10T12:00:00Z,-13.11,2014-02-10T22:00:00Z,-32.41,2014-02-10T12:00:00Z,-18.89,2014-02-10T22:00:00Z,-23.54,0.63,2.69,287,16.09,0,1030.59
